,date,confirm,suspect,dead,heal
0,1.13,41,0,1,0
1,1.14,41,0,1,0
2,1.15,41,0,2,5
3,1.16,45,0,2,8
4,1.17,62,0,2,12
5,1.18,198,0,3,17
6,1.19,275,0,4,18
7,1.2,291,54,6,25
8,1.21,440,37,9,25
9,1.22,571,393,17,25
10,1.23,830,1072,25,34
11,1.24,1287,1965,41,38
12,1.25,1975,2684,56,49
13,1.26,2744,5794,80,51
14,1.27,4515,6973,106,60
15,1.28,5974,9239,132,103
16,1.29,7711,12167,170,124
17,1.3,9692,15238,213,171
18,1.31,11791,17988,259,243
19,2.01,14380,19544,304,328
20,2.02,17236,21558,361,475
21,2.03,20471,23214,425,632
22,2.04,24363,23260,491,892
23,2.05,28060,24702,564,1153
24,2.06,31211,26359,637,1542
25,2.07,34598,27657,723,2052
26,2.08,37251,28942,812,2651
27,2.09,40235,23589,909,3283
28,2.1,42708,21675,1017,3998
29,2.11,44730,16067,1114,4742
40,2.12,59716,16067,1364,5887
41,2.13,63932,13485,1489,7038
